NAME,DATE,WEEKDAY,TIME,CPU,BW,MEM,CPU_D,BW_D,MEM_D
ITS-PMPSQL-01,2011-03-07,MON,00:29:00,2342,16,1899,2198.7,2.83,1899.11
ITS-PMPSQL-01,2011-03-07,MON,00:34:00,2400,2,1865,2198.7,2.83,1865.0
ITS-PMPSQL-01,2011-03-07,MON,00:39:00,556,3,1897,556.0,2.83,1896.54
ITS-PMPSQL-01,2011-03-07,MON,00:44:00,614,2,1897,614.0,2.83,1896.54
ITS-PMPSQL-01,2011-03-07,MON,00:49:00,468,2,1856,468.0,2.83,1856.0
ITS-PMPSQL-01,2011-03-07,MON,00:54:00,527,3,1892,527.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,00:59:00,585,1,1894,585.0,2.83,1893.5
ITS-PMPSQL-01,2011-03-07,MON,01:04:00,527,3,1877,527.0,2.83,1877.02
ITS-PMPSQL-01,2011-03-07,MON,01:09:00,556,1,1884,556.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,01:14:00,644,8,1883,644.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,01:19:00,556,1,1864,556.0,2.83,1864.0
ITS-PMPSQL-01,2011-03-07,MON,01:25:00,556,2,1882,556.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,01:29:00,585,1,1883,585.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,01:34:00,439,1,1865,439.0,2.83,1865.0
ITS-PMPSQL-01,2011-03-07,MON,01:39:00,790,1,1885,790.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,01:44:00,790,1,1884,790.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,01:49:00,527,2,1858,527.0,2.83,1857.62
ITS-PMPSQL-01,2011-03-07,MON,01:54:00,58,2,1878,58.0,2.83,1877.02
ITS-PMPSQL-01,2011-03-07,MON,01:59:00,468,2,1878,468.0,2.83,1877.02
ITS-PMPSQL-01,2011-03-07,MON,02:04:00,497,1,1863,497.0,2.83,1862.59
ITS-PMPSQL-01,2011-03-07,MON,02:09:00,790,2,1892,790.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,02:14:00,614,2,1886,614.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,02:19:00,556,1,1866,556.0,2.83,1866.0
ITS-PMPSQL-01,2011-03-07,MON,02:24:00,439,1,1887,439.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,02:29:00,556,2,1765,556.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,02:34:00,702,2,1721,702.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,02:39:00,468,2,1752,468.0,2.83,1752.02
ITS-PMPSQL-01,2011-03-07,MON,02:44:00,117,2,1751,125.09,2.83,1752.02
ITS-PMPSQL-01,2011-03-07,MON,02:49:00,614,1,1719,614.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,02:54:00,614,1,1738,614.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,02:59:00,556,2,1736,556.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,03:04:00,702,1,1720,702.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,03:09:00,644,1,1741,644.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,03:14:00,936,1,1741,936.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,03:19:00,614,1,1723,614.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,03:24:00,644,1,1743,644.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,03:29:00,556,1,1743,556.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,03:34:00,468,1,1722,468.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,03:39:00,585,1,1763,585.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,03:44:00,380,1,1741,380.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,03:49:00,468,1,1722,468.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,03:54:00,468,2,1744,468.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,03:59:00,556,1,1743,556.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,04:04:00,614,1,1723,614.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,04:09:00,702,1,1743,702.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,04:14:00,732,1,1744,732.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,04:19:00,527,1,1724,527.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,04:24:00,439,1,1742,439.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,04:29:00,468,1,1755,468.0,2.83,1756.3
ITS-PMPSQL-01,2011-03-07,MON,04:34:00,556,1,1737,556.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,04:39:00,439,1,1744,439.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,04:44:00,439,1,1743,439.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,04:49:00,527,1,1722,527.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,04:54:00,556,1,1744,556.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,04:59:00,614,1,1743,614.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:04:00,732,1,1723,732.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,05:09:00,614,1,1744,614.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:14:00,585,2,1744,585.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:19:00,468,1,1725,468.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,05:24:00,468,1,1742,468.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:29:00,614,1,1742,614.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:34:00,614,1,1724,614.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,05:39:00,556,1,1741,556.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:44:00,527,1,1740,527.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:49:00,439,1,1723,439.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,05:54:00,644,1,1742,644.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,05:59:00,527,1,1741,527.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,06:04:00,614,1,1724,614.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,06:09:00,556,1,1741,556.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,06:14:00,644,1,1741,644.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,06:19:00,790,1,1726,790.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,06:24:00,702,1,1745,702.0,2.83,1746.85
ITS-PMPSQL-01,2011-03-07,MON,06:29:00,527,1,1745,527.0,2.83,1746.85
ITS-PMPSQL-01,2011-03-07,MON,06:34:00,439,1,1724,439.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,06:39:00,644,2,1745,644.0,2.83,1746.85
ITS-PMPSQL-01,2011-03-07,MON,06:44:00,468,1,1757,468.0,2.83,1756.3
ITS-PMPSQL-01,2011-03-07,MON,06:49:00,556,1,1723,556.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,06:54:00,878,1,1736,878.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,06:59:00,497,1,1735,497.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,07:04:00,614,1,1717,614.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,07:09:00,614,1,1740,614.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,07:14:00,468,1,1739,468.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,07:19:00,644,1,1721,644.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,07:24:00,556,2,1764,556.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,07:29:00,907,1,1752,907.0,2.83,1752.02
ITS-PMPSQL-01,2011-03-07,MON,07:34:00,439,2,1717,439.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,07:39:00,527,2,1737,527.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,07:44:00,614,2,1736,614.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,07:49:00,439,2,1715,439.0,2.83,1712.34
ITS-PMPSQL-01,2011-03-07,MON,07:54:00,732,2,1739,732.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,07:59:00,614,2,1737,614.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,08:04:00,936,3,1718,936.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,08:09:00,556,1,1737,556.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,08:14:00,849,1,1737,849.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,08:19:00,468,2,1721,468.0,2.83,1719.24
ITS-PMPSQL-01,2011-03-07,MON,08:24:00,790,2,1743,790.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,08:29:00,614,2,1743,614.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,08:34:00,527,1,1723,527.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,08:39:00,497,2,1741,497.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,08:44:00,527,3,1763,527.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,08:49:00,468,2,1723,468.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,08:54:00,790,2,1743,790.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,08:59:00,556,2,1742,556.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,09:04:00,58,2,1740,58.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,09:09:00,527,2,1761,527.0,2.83,1760.43
ITS-PMPSQL-01,2011-03-07,MON,09:14:00,644,2,1747,644.0,2.83,1746.85
ITS-PMPSQL-01,2011-03-07,MON,09:19:00,0,1,1728,0.0,2.83,1726.23
ITS-PMPSQL-01,2011-03-07,MON,09:24:00,468,3,1750,468.0,2.83,1752.02
ITS-PMPSQL-01,2011-03-07,MON,09:29:00,527,2,1753,527.0,2.83,1752.02
ITS-PMPSQL-01,2011-03-07,MON,09:34:00,702,3,1733,702.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,09:39:00,614,2,1756,614.0,2.83,1756.3
ITS-PMPSQL-01,2011-03-07,MON,09:44:00,790,2,1768,790.0,2.83,1767.06
ITS-PMPSQL-01,2011-03-07,MON,09:49:00,527,2,1737,527.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,09:55:00,0,2,1755,0.0,2.83,1756.3
ITS-PMPSQL-01,2011-03-07,MON,09:59:00,468,2,1759,468.0,2.83,1760.43
ITS-PMPSQL-01,2011-03-07,MON,10:04:00,468,2,1745,468.0,2.83,1746.85
ITS-PMPSQL-01,2011-03-07,MON,10:09:00,556,2,1755,556.0,2.83,1756.3
ITS-PMPSQL-01,2011-03-07,MON,10:14:00,585,3,1755,585.0,2.83,1756.3
ITS-PMPSQL-01,2011-03-07,MON,10:19:00,527,2,1740,527.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,10:24:00,614,3,1764,614.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,10:29:00,322,2,1764,322.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,10:34:00,556,3,1744,556.0,2.83,1741.16
ITS-PMPSQL-01,2011-03-07,MON,10:39:00,556,2,1764,556.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,10:44:00,439,3,1765,439.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,10:49:00,673,4,1734,673.0,2.83,1733.25
ITS-PMPSQL-01,2011-03-07,MON,10:54:00,614,2,1763,614.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,10:59:00,527,3,1764,527.0,2.83,1763.87
ITS-PMPSQL-01,2011-03-07,MON,11:04:00,614,2,1746,614.0,2.83,1746.85
ITS-PMPSQL-01,2011-03-07,MON,11:09:00,556,2,1770,556.0,2.83,1769.52
ITS-PMPSQL-01,2011-03-07,MON,11:14:00,556,3,1769,556.0,2.83,1769.52
ITS-PMPSQL-01,2011-03-07,MON,11:19:00,1522,2,1761,1666.69,2.83,1760.43
ITS-PMPSQL-01,2011-03-07,MON,11:24:00,614,3,1774,614.0,2.83,1774.22
ITS-PMPSQL-01,2011-03-07,MON,11:29:00,527,2,1775,527.0,2.83,1774.22
ITS-PMPSQL-01,2011-03-07,MON,11:34:00,849,3,1772,849.0,2.83,1771.55
ITS-PMPSQL-01,2011-03-07,MON,11:39:00,732,3,1780,732.0,2.83,1778.32
ITS-PMPSQL-01,2011-03-07,MON,11:44:00,761,3,1781,761.0,2.83,1782.72
ITS-PMPSQL-01,2011-03-07,MON,11:49:00,556,3,1754,556.0,2.83,1752.02
ITS-PMPSQL-01,2011-03-07,MON,11:54:00,468,3,1776,468.0,2.83,1774.22
ITS-PMPSQL-01,2011-03-07,MON,11:59:00,497,3,1777,497.0,2.83,1778.32
ITS-PMPSQL-01,2011-03-07,MON,12:04:00,702,3,1759,702.0,2.83,1760.43
ITS-PMPSQL-01,2011-03-07,MON,12:09:00,614,2,1781,614.0,2.83,1782.72
ITS-PMPSQL-01,2011-03-07,MON,12:14:00,614,4,1793,614.0,2.83,1793.68
ITS-PMPSQL-01,2011-03-07,MON,12:19:00,468,3,1777,468.0,2.83,1778.32
ITS-PMPSQL-01,2011-03-07,MON,12:24:00,614,3,1799,614.0,2.83,1799.89
ITS-PMPSQL-01,2011-03-07,MON,12:29:00,439,3,1785,439.0,2.83,1786.0
ITS-PMPSQL-01,2011-03-07,MON,12:34:00,966,3,1784,966.0,2.83,1782.72
ITS-PMPSQL-01,2011-03-07,MON,12:39:00,527,3,1781,527.0,2.83,1782.72
ITS-PMPSQL-01,2011-03-07,MON,12:44:00,644,3,1795,644.0,2.83,1795.5
ITS-PMPSQL-01,2011-03-07,MON,12:49:00,527,4,1781,527.0,2.83,1782.72
ITS-PMPSQL-01,2011-03-07,MON,12:54:00,702,3,1804,702.0,2.83,1804.0
ITS-PMPSQL-01,2011-03-07,MON,12:59:00,790,3,1806,790.0,2.83,1805.5
ITS-PMPSQL-01,2011-03-07,MON,13:04:00,702,3,1788,702.0,2.83,1788.44
ITS-PMPSQL-01,2011-03-07,MON,13:09:00,614,3,1812,614.0,2.83,1811.92
ITS-PMPSQL-01,2011-03-07,MON,13:14:00,527,3,1812,527.0,2.83,1811.92
ITS-PMPSQL-01,2011-03-07,MON,13:19:00,644,4,1754,644.0,2.83,1752.02
ITS-PMPSQL-01,2011-03-07,MON,13:24:00,556,3,1747,556.0,2.83,1746.85
ITS-PMPSQL-01,2011-03-07,MON,13:29:00,644,4,1778,644.0,2.83,1778.32
ITS-PMPSQL-01,2011-03-07,MON,13:34:00,790,4,1779,790.0,2.83,1778.32
ITS-PMPSQL-01,2011-03-07,MON,13:39:00,790,5,1804,790.0,2.83,1804.0
ITS-PMPSQL-01,2011-03-07,MON,13:44:00,556,5,1807,556.0,2.83,1807.17
ITS-PMPSQL-01,2011-03-07,MON,13:49:00,468,4,1795,468.0,2.83,1795.5
ITS-PMPSQL-01,2011-03-07,MON,13:54:00,556,4,1817,556.0,2.83,1817.0
ITS-PMPSQL-01,2011-03-07,MON,13:59:00,644,4,1819,644.0,2.83,1818.5
ITS-PMPSQL-01,2011-03-07,MON,14:04:00,527,3,1787,527.0,2.83,1786.0
ITS-PMPSQL-01,2011-03-07,MON,14:09:00,585,3,1827,585.0,2.83,1827.9
ITS-PMPSQL-01,2011-03-07,MON,14:14:00,556,3,1827,556.0,2.83,1827.9
ITS-PMPSQL-01,2011-03-07,MON,14:19:00,644,4,1811,644.0,2.83,1811.92
ITS-PMPSQL-01,2011-03-07,MON,14:24:00,614,3,1833,614.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,14:29:00,527,5,1835,527.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,14:34:00,732,4,1816,732.0,2.83,1815.04
ITS-PMPSQL-01,2011-03-07,MON,14:39:00,527,3,1827,527.0,2.83,1827.9
ITS-PMPSQL-01,2011-03-07,MON,14:44:00,614,4,1829,614.0,2.83,1827.9
ITS-PMPSQL-01,2011-03-07,MON,14:49:00,527,3,1815,527.0,2.83,1815.04
ITS-PMPSQL-01,2011-03-07,MON,14:54:00,468,4,1838,468.0,2.83,1837.1
ITS-PMPSQL-01,2011-03-07,MON,14:59:00,527,4,1840,527.0,2.83,1840.24
ITS-PMPSQL-01,2011-03-07,MON,15:04:00,527,4,1822,527.0,2.83,1820.83
ITS-PMPSQL-01,2011-03-07,MON,15:09:00,556,3,1832,556.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,15:14:00,380,2,1832,380.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,15:19:00,527,2,1814,527.0,2.83,1815.04
ITS-PMPSQL-01,2011-03-07,MON,15:24:00,732,3,1833,732.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,15:29:00,790,4,1849,790.0,2.83,1849.26
ITS-PMPSQL-01,2011-03-07,MON,15:34:00,556,4,1833,556.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,15:39:00,527,4,1831,527.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,15:44:00,468,3,1833,468.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,15:49:00,527,2,1819,527.0,2.83,1818.5
ITS-PMPSQL-01,2011-03-07,MON,15:54:00,527,3,1841,527.0,2.83,1840.24
ITS-PMPSQL-01,2011-03-07,MON,15:59:00,468,3,1854,468.0,2.83,1854.0
ITS-PMPSQL-01,2011-03-07,MON,16:04:00,468,3,1837,468.0,2.83,1837.1
ITS-PMPSQL-01,2011-03-07,MON,16:09:00,527,4,1861,527.0,2.83,1861.0
ITS-PMPSQL-01,2011-03-07,MON,16:14:00,439,4,1862,439.0,2.83,1862.59
ITS-PMPSQL-01,2011-03-07,MON,16:19:00,556,3,1845,556.0,2.83,1844.38
ITS-PMPSQL-01,2011-03-07,MON,16:24:00,1024,4,1860,1024.0,2.83,1859.56
ITS-PMPSQL-01,2011-03-07,MON,16:29:00,556,3,1850,556.0,2.83,1849.26
ITS-PMPSQL-01,2011-03-07,MON,16:34:00,702,3,1833,702.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,16:39:00,468,3,1847,468.0,2.83,1846.41
ITS-PMPSQL-01,2011-03-07,MON,16:44:00,556,4,1862,556.0,2.83,1862.59
ITS-PMPSQL-01,2011-03-07,MON,16:49:00,468,4,1846,468.0,2.83,1846.41
ITS-PMPSQL-01,2011-03-07,MON,16:54:00,527,3,1870,527.0,2.83,1870.0
ITS-PMPSQL-01,2011-03-07,MON,16:59:00,527,3,1870,527.0,2.83,1870.0
ITS-PMPSQL-01,2011-03-07,MON,17:04:00,527,3,1852,527.0,2.83,1852.0
ITS-PMPSQL-01,2011-03-07,MON,17:09:00,29,3,1872,29.0,2.83,1872.5
ITS-PMPSQL-01,2011-03-07,MON,17:14:00,702,3,1873,702.0,2.83,1872.5
ITS-PMPSQL-01,2011-03-07,MON,17:19:00,556,3,1859,556.0,2.83,1859.56
ITS-PMPSQL-01,2011-03-07,MON,17:24:00,732,3,1882,732.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,17:29:00,702,3,1882,702.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,17:34:00,556,3,1848,556.0,2.83,1849.26
ITS-PMPSQL-01,2011-03-07,MON,17:39:00,556,3,1888,556.0,2.83,1888.88
ITS-PMPSQL-01,2011-03-07,MON,17:44:00,644,3,1874,644.0,2.83,1874.36
ITS-PMPSQL-01,2011-03-07,MON,17:49:00,556,4,1860,556.0,2.83,1859.56
ITS-PMPSQL-01,2011-03-07,MON,17:54:00,527,2,1882,527.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,17:59:00,556,2,1867,556.0,2.83,1867.5
ITS-PMPSQL-01,2011-03-07,MON,18:04:00,527,3,1862,527.0,2.83,1862.59
ITS-PMPSQL-01,2011-03-07,MON,18:09:00,468,3,1889,468.0,2.83,1888.88
ITS-PMPSQL-01,2011-03-07,MON,18:14:00,556,2,1887,556.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,18:19:00,527,3,1856,527.0,2.83,1856.0
ITS-PMPSQL-01,2011-03-07,MON,18:24:00,468,2,1878,468.0,2.83,1877.02
ITS-PMPSQL-01,2011-03-07,MON,18:29:00,614,3,1878,614.0,2.83,1877.02
ITS-PMPSQL-01,2011-03-07,MON,18:34:00,673,2,1858,673.0,2.83,1857.62
ITS-PMPSQL-01,2011-03-07,MON,18:39:00,468,2,1872,468.0,2.83,1872.5
ITS-PMPSQL-01,2011-03-07,MON,18:44:00,527,2,1873,527.0,2.83,1872.5
ITS-PMPSQL-01,2011-03-07,MON,18:49:00,527,3,1858,527.0,2.83,1857.62
ITS-PMPSQL-01,2011-03-07,MON,18:54:00,644,3,1891,644.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,18:59:00,644,3,1891,644.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,19:04:00,556,3,1821,556.0,2.83,1820.83
ITS-PMPSQL-01,2011-03-07,MON,19:09:00,527,4,1823,527.0,2.83,1824.0
ITS-PMPSQL-01,2011-03-07,MON,19:14:00,556,3,1805,556.0,2.83,1805.5
ITS-PMPSQL-01,2011-03-07,MON,19:19:00,468,3,1792,468.0,2.83,1792.0
ITS-PMPSQL-01,2011-03-07,MON,19:24:00,702,2,1886,702.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,19:29:00,556,2,1886,556.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,19:34:00,644,2,1867,644.0,2.83,1867.5
ITS-PMPSQL-01,2011-03-07,MON,19:39:00,527,2,1866,527.0,2.83,1866.0
ITS-PMPSQL-01,2011-03-07,MON,19:44:00,2664,23,1902,2809.82,2.83,1901.73
ITS-PMPSQL-01,2011-03-07,MON,19:49:00,2928,194,1893,2809.82,204.42,1893.5
ITS-PMPSQL-01,2011-03-07,MON,19:54:00,2928,8167,1895,2809.82,6761.16,1895.0
ITS-PMPSQL-01,2011-03-07,MON,19:59:00,2752,5073,1903,2809.82,6761.16,1901.73
ITS-PMPSQL-01,2011-03-07,MON,20:04:00,2928,5110,1887,2809.82,6761.16,1886.45
ITS-PMPSQL-01,2011-03-07,MON,20:09:00,2928,2836,1901,2809.82,2971.07,1901.73
ITS-PMPSQL-01,2011-03-07,MON,20:14:00,2928,3102,1904,2809.82,2971.07,1904.79
ITS-PMPSQL-01,2011-03-07,MON,20:19:00,556,3990,1811,556.0,4025.82,1811.92
ITS-PMPSQL-01,2011-03-07,MON,20:24:00,1171,2,1838,1171.0,2.83,1837.1
ITS-PMPSQL-01,2011-03-07,MON,20:29:00,468,3,1834,468.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,20:34:00,527,3,1803,527.0,2.83,1802.5
ITS-PMPSQL-01,2011-03-07,MON,20:39:00,468,2,1814,468.0,2.83,1815.04
ITS-PMPSQL-01,2011-03-07,MON,20:44:00,790,2,1815,790.0,2.83,1815.04
ITS-PMPSQL-01,2011-03-07,MON,20:49:00,556,2,1798,556.0,2.83,1798.0
ITS-PMPSQL-01,2011-03-07,MON,20:54:00,878,3,1834,878.0,2.83,1833.11
ITS-PMPSQL-01,2011-03-07,MON,20:59:00,468,3,1897,468.0,2.83,1896.54
ITS-PMPSQL-01,2011-03-07,MON,21:04:00,644,3,1878,644.0,2.83,1877.02
ITS-PMPSQL-01,2011-03-07,MON,21:09:00,439,3,1886,439.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,21:14:00,614,3,1898,614.0,2.83,1899.11
ITS-PMPSQL-01,2011-03-07,MON,21:19:00,614,2,1884,614.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,21:24:00,556,3,1900,556.0,2.83,1899.11
ITS-PMPSQL-01,2011-03-07,MON,21:29:00,614,2,1904,614.0,2.83,1904.79
ITS-PMPSQL-01,2011-03-07,MON,21:34:00,702,2,1869,702.0,2.83,1869.0
ITS-PMPSQL-01,2011-03-07,MON,21:39:00,527,3,1887,527.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,21:44:00,468,2,1887,468.0,2.83,1886.45
ITS-PMPSQL-01,2011-03-07,MON,21:49:00,702,2,1872,702.0,2.83,1872.5
ITS-PMPSQL-01,2011-03-07,MON,21:54:00,644,2,1892,644.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,21:59:00,614,3,1891,614.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,22:04:00,322,2,1874,322.0,2.83,1874.36
ITS-PMPSQL-01,2011-03-07,MON,22:09:00,614,2,1896,614.0,2.83,1896.54
ITS-PMPSQL-01,2011-03-07,MON,22:14:00,527,2,1898,527.0,2.83,1899.11
ITS-PMPSQL-01,2011-03-07,MON,22:19:00,468,2,1882,468.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,22:24:00,527,2,1892,527.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,22:29:00,527,2,1891,527.0,2.83,1891.49
ITS-PMPSQL-01,2011-03-07,MON,22:34:00,644,2,1871,644.0,2.83,1871.0
ITS-PMPSQL-01,2011-03-07,MON,22:39:00,614,2,1885,614.0,2.83,1883.56
ITS-PMPSQL-01,2011-03-07,MON,22:44:00,790,2,1926,790.0,2.83,1926.55
ITS-PMPSQL-01,2011-03-07,MON,22:49:00,1376,3,1900,1392.2,2.83,1899.11
ITS-PMPSQL-01,2011-03-07,MON,22:54:00,497,2,1890,497.0,2.83,1888.88
ITS-PMPSQL-01,2011-03-07,MON,22:59:00,614,2,1889,614.0,2.83,1888.88
ITS-PMPSQL-01,2011-03-07,MON,23:05:00,0,2,1872,0.0,2.83,1872.5
ITS-PMPSQL-01,2011-03-07,MON,23:09:00,790,2,1894,790.0,2.83,1893.5
ITS-PMPSQL-01,2011-03-07,MON,23:14:00,790,2,1893,790.0,2.83,1893.5
ITS-PMPSQL-01,2011-03-07,MON,23:19:00,702,2,1875,702.0,2.83,1874.36
ITS-PMPSQL-01,2011-03-07,MON,23:24:00,468,3,1896,468.0,2.83,1896.54
ITS-PMPSQL-01,2011-03-07,MON,23:29:00,409,2,1895,409.0,2.83,1895.0
ITS-PMPSQL-01,2011-03-07,MON,23:34:00,614,2,1876,614.0,2.83,1877.02
ITS-PMPSQL-01,2011-03-07,MON,23:39:00,614,2,1890,614.0,2.83,1888.88
ITS-PMPSQL-01,2011-03-07,MON,23:44:00,527,2,1889,527.0,2.83,1888.88
ITS-PMPSQL-01,2011-03-07,MON,23:49:00,527,2,1874,527.0,2.83,1874.36
ITS-PMPSQL-01,2011-03-07,MON,23:54:00,468,2,1896,468.0,2.83,1896.54
ITS-PMPSQL-01,2011-03-07,MON,23:59:00,614,2,1895,614.0,2.83,1895.0
